lock_day,locked_users,touch_mean,ttl_days_mean,daily_locked_users,seed_ratio
2025-03-09,279,1.7347670250896057,9.86021505376344,284,0.9823943661971831
2025-03-10,127,1.7480314960629921,5.543307086614173,133,0.9548872180451128
2025-03-11,123,1.7317073170731707,7.682926829268292,127,0.968503937007874
2025-03-12,105,1.8095238095238095,8.295238095238096,108,0.9722222222222222
2025-03-13,107,1.794392523364486,13.018691588785046,108,0.9907407407407407
2025-03-14,99,1.8686868686868687,8.02020202020202,105,0.9428571428571428
2025-03-15,269,1.754646840148699,11.308550185873607,273,0.9853479853479854
2025-03-16,310,1.696774193548387,11.496774193548386,317,0.9779179810725552
2025-03-17,109,1.4954128440366972,11.36697247706422,113,0.9646017699115044
2025-03-18,116,1.6810344827586208,6.887931034482759,120,0.9666666666666667
2025-03-19,130,1.7230769230769232,14.953846153846154,135,0.9629629629629629
2025-03-20,126,1.6825396825396826,10.515873015873016,134,0.9402985074626866
2025-03-21,104,1.7307692307692308,11.423076923076923,107,0.9719626168224299
2025-03-22,304,1.6776315789473684,14.348684210526315,308,0.987012987012987
2025-03-23,354,1.6412429378531073,11.694915254237289,356,0.9943820224719101
2025-03-24,116,1.6982758620689655,10.53448275862069,118,0.9830508474576272
2025-03-25,109,1.6055045871559632,13.238532110091743,112,0.9732142857142857
2025-03-26,109,1.4403669724770642,4.440366972477064,113,0.9646017699115044
2025-03-27,126,1.619047619047619,14.69047619047619,129,0.9767441860465116
2025-03-28,109,1.6238532110091743,11.844036697247706,112,0.9732142857142857
2025-03-29,236,1.5635593220338984,10.940677966101696,241,0.979253112033195
2025-03-30,273,1.835164835164835,10.523809523809524,277,0.9855595667870036
2025-03-31,99,1.696969696969697,21.484848484848484,103,0.9611650485436893
2025-04-01,155,1.8193548387096774,8.825806451612904,159,0.9748427672955975
2025-04-02,82,1.6341463414634145,4.170731707317073,88,0.9318181818181818
2025-04-03,79,1.9493670886075949,10.49367088607595,83,0.9518072289156626
2025-04-04,131,1.8244274809160306,3.877862595419847,134,0.9776119402985075
2025-04-05,158,1.6645569620253164,8.341772151898734,160,0.9875
2025-04-06,234,1.8846153846153846,11.123931623931623,236,0.9915254237288136
2025-04-07,81,1.9382716049382716,11.814814814814815,84,0.9642857142857143
2025-04-08,93,1.5806451612903225,7.548387096774194,96,0.96875
2025-04-09,90,1.7555555555555555,9.977777777777778,94,0.9574468085106383
2025-04-10,102,1.6666666666666667,6.529411764705882,106,0.9622641509433962
2025-04-11,76,1.6973684210526316,4.184210526315789,79,0.9620253164556962
2025-04-12,172,1.8604651162790697,8.267441860465116,178,0.9662921348314607
2025-04-13,285,2.1649122807017545,19.901754385964914,293,0.9726962457337884
2025-04-14,101,1.8514851485148516,5.514851485148514,102,0.9901960784313726
2025-04-15,93,1.8602150537634408,12.21505376344086,95,0.9789473684210527
2025-04-16,82,1.7195121951219512,12.317073170731707,84,0.9761904761904762
2025-04-17,56,1.9464285714285714,12.982142857142858,56,1.0
2025-04-18,58,1.793103448275862,11.068965517241379,58,1.0
2025-04-19,167,1.778443113772455,15.497005988023952,168,0.9940476190476191
2025-04-20,210,1.7619047619047619,7.5,211,0.995260663507109
2025-04-21,90,1.6777777777777778,15.366666666666667,93,0.967741935483871
2025-04-22,84,2.1904761904761907,16.726190476190474,91,0.9230769230769231
2025-04-23,97,1.8453608247422681,12.144329896907216,101,0.9603960396039604
2025-04-24,104,1.9711538461538463,9.35576923076923,104,1.0
2025-04-25,76,2.039473684210526,12.092105263157896,79,0.9620253164556962
2025-04-26,209,1.6602870813397128,11.913875598086124,211,0.990521327014218
2025-04-27,137,1.5547445255474452,17.854014598540147,140,0.9785714285714285
2025-04-28,101,2.207920792079208,20.257425742574256,101,1.0
2025-04-29,123,2.0,7.959349593495935,129,0.9534883720930233
2025-04-30,127,1.8031496062992125,14.929133858267717,129,0.9844961240310077
2025-05-01,208,1.8221153846153846,13.528846153846153,213,0.9765258215962441
2025-05-02,169,1.7218934911242603,9.668639053254438,173,0.976878612716763
2025-05-03,161,1.4906832298136645,12.20496894409938,162,0.9938271604938271
2025-05-04,192,1.84375,18.166666666666668,194,0.9896907216494846
2025-05-05,404,2.2202970297029703,15.811881188118813,418,0.9665071770334929
2025-05-06,33,2.0,5.7272727272727275,37,0.8918918918918919
2025-05-07,20,3.2,32.25,24,0.8333333333333334
2025-05-08,38,2.710526315789474,14.157894736842104,38,1.0
2025-05-09,27,1.8148148148148149,19.40740740740741,29,0.9310344827586207
2025-05-10,79,1.5696202531645569,16.78481012658228,82,0.9634146341463414
2025-05-11,105,1.6,6.742857142857143,109,0.963302752293578
2025-05-12,44,2.1363636363636362,17.5,45,0.9777777777777777
2025-05-13,1346,1.8677563150074294,33.644130757800895,1407,0.9566453447050463
2025-05-14,539,1.9443413729128014,35.37291280148423,576,0.9357638888888888
2025-05-15,254,2.0708661417322833,29.9251968503937,267,0.951310861423221
2025-05-16,171,2.2514619883040936,37.16959064327485,174,0.9827586206896551
2025-05-17,368,1.875,26.355978260869566,371,0.9919137466307277
2025-05-18,393,2.203562340966921,30.31552162849873,405,0.9703703703703703
2025-05-19,154,2.4415584415584415,33.16233766233766,164,0.9390243902439024
2025-05-20,139,2.237410071942446,32.39568345323741,146,0.952054794520548
2025-05-21,94,2.4148936170212765,30.19148936170213,102,0.9215686274509803
2025-05-22,98,2.193877551020408,28.806122448979593,101,0.9702970297029703
2025-05-23,93,2.6129032258064515,28.72043010752688,95,0.9789473684210527
2025-05-24,261,1.9923371647509578,33.23371647509578,272,0.9595588235294118
2025-05-25,337,2.3620178041543025,26.851632047477747,345,0.9768115942028985
2025-05-26,132,2.234848484848485,23.803030303030305,139,0.9496402877697842
2025-05-27,117,1.8205128205128205,27.512820512820515,120,0.975
2025-05-28,103,2.533980582524272,33.58252427184466,109,0.944954128440367
2025-05-29,97,2.556701030927835,31.721649484536083,104,0.9326923076923077
2025-05-30,97,2.185567010309278,23.432989690721648,101,0.9603960396039604
2025-05-31,271,2.2583025830258303,34.11808118081181,279,0.9713261648745519
2025-06-01,271,2.5055350553505535,33.80442804428044,278,0.9748201438848921
2025-06-02,252,2.0555555555555554,31.166666666666668,266,0.9473684210526315
2025-06-03,108,2.287037037037037,26.666666666666668,111,0.972972972972973
2025-06-04,106,2.707547169811321,27.9811320754717,113,0.9380530973451328
2025-06-05,116,2.2672413793103448,33.81896551724138,123,0.943089430894309
2025-06-06,93,1.924731182795699,35.354838709677416,97,0.9587628865979382
2025-06-07,267,2.101123595505618,28.56179775280899,281,0.9501779359430605
2025-06-08,274,2.295620437956204,33.85766423357664,288,0.9513888888888888
2025-06-09,135,1.9333333333333333,22.125925925925927,137,0.9854014598540146
2025-06-10,130,2.0,16.815384615384616,135,0.9629629629629629
2025-06-11,131,2.50381679389313,26.129770992366414,139,0.9424460431654677
2025-06-12,125,2.056,35.208,132,0.946969696969697
2025-06-13,125,2.224,26.568,133,0.9398496240601504
2025-06-14,392,2.2627551020408165,33.85459183673469,406,0.9655172413793104
2025-06-15,444,1.9842342342342343,31.716216216216218,461,0.9631236442516269
2025-06-16,156,2.217948717948718,27.71794871794872,163,0.9570552147239264
2025-06-17,157,2.43312101910828,35.1656050955414,168,0.9345238095238095
2025-06-18,178,2.0842696629213484,28.5,185,0.9621621621621622
2025-06-19,126,2.3333333333333335,22.436507936507937,128,0.984375
2025-06-20,130,2.2846153846153845,29.892307692307693,133,0.9774436090225563
2025-06-21,351,2.091168091168091,26.735042735042736,359,0.9777158774373259
2025-06-22,347,2.2103746397694524,32.585014409221905,357,0.9719887955182073
2025-06-23,124,2.370967741935484,21.766129032258064,127,0.9763779527559056
2025-06-24,128,2.15625,27.2890625,134,0.9552238805970149
2025-06-25,134,2.2313432835820897,31.567164179104477,138,0.9710144927536232
2025-06-26,160,1.99375,30.09375,163,0.9815950920245399
2025-06-27,146,2.1780821917808217,27.801369863013697,151,0.9668874172185431
2025-06-28,359,2.267409470752089,36.48189415041783,370,0.9702702702702702
2025-06-29,452,2.1526548672566372,35.38274336283186,462,0.9783549783549783
2025-06-30,331,2.6314199395770395,43.16918429003021,344,0.9622093023255814
2025-07-01,131,2.4656488549618323,26.564885496183205,142,0.9225352112676056
2025-07-02,93,2.2580645161290325,31.21505376344086,100,0.93
2025-07-03,91,2.3626373626373627,16.934065934065934,99,0.9191919191919192
2025-07-04,90,2.6555555555555554,21.42222222222222,96,0.9375
2025-07-05,197,2.33502538071066,22.16243654822335,203,0.9704433497536946
2025-07-06,402,2.584577114427861,48.504975124378106,427,0.9414519906323185
2025-07-07,191,2.9162303664921465,41.397905759162306,209,0.9138755980861244
2025-07-08,99,1.9393939393939394,6.424242424242424,101,0.9801980198019802
2025-07-09,84,2.0357142857142856,4.690476190476191,86,0.9767441860465116
2025-07-10,102,2.549019607843137,6.921568627450981,108,0.9444444444444444
2025-07-11,74,2.0675675675675675,8.945945945945946,76,0.9736842105263158
2025-07-12,231,1.896103896103896,11.822510822510823,234,0.9871794871794872
2025-07-13,286,2.0594405594405596,8.56993006993007,293,0.9761092150170648
2025-07-14,118,2.3220338983050848,8.567796610169491,130,0.9076923076923077
2025-07-15,140,2.4571428571428573,14.914285714285715,144,0.9722222222222222
2025-07-16,103,2.3398058252427183,16.563106796116504,106,0.9716981132075472
2025-07-17,104,2.5865384615384617,5.894230769230769,109,0.9541284403669725
2025-07-18,61,1.6885245901639345,3.098360655737705,63,0.9682539682539683
2025-07-19,248,2.036290322580645,7.459677419354839,253,0.9802371541501976
2025-07-20,325,2.0707692307692307,10.541538461538462,328,0.9908536585365854
2025-07-21,114,1.8333333333333333,11.81578947368421,115,0.991304347826087
2025-07-22,130,2.3,7.707692307692308,138,0.9420289855072463
2025-07-23,98,2.010204081632653,9.642857142857142,102,0.9607843137254902
2025-07-24,99,2.1515151515151514,7.666666666666667,103,0.9611650485436893
2025-07-25,85,2.1176470588235294,20.529411764705884,89,0.9550561797752809
